Sector,Sector_name,Institution,State,Tuition
1,"4-year, public",University of Maryland Eastern Shore,MD,7287
1,"4-year, public",Sonoma State University,CA,7276
1,"4-year, public",University of Central Missouri,MO,7265
1,"4-year, public",Wichita State University,KS,7265
1,"4-year, public",The University of Texas at El Paso,TX,7259
1,"4-year, public",Fort Lewis College,CO,7252
1,"4-year, public",Massachusetts Maritime Academy,MA,7250
1,"4-year, public",Nicholls State University,LA,7234
1,"4-year, public",University of South Alabama,AL,7188
1,"4-year, public",Humboldt State University,CA,7171
1,"4-year, public",California State University-San Marcos,CA,7169
1,"4-year, public",Austin Peay State University,TN,7168
1,"4-year, public",Mississippi State University,MS,7140
1,"4-year, public",Ohio State University-Lima Campus,OH,7140
1,"4-year, public",Ohio State University-Mansfield Campus,OH,7140
1,"4-year, public",Ohio State University-Marion Campus,OH,7140
1,"4-year, public",Ohio State University-Newark Campus,OH,7140
1,"4-year, public",Oklahoma Panhandle State University,OK,7137
1,"4-year, public",Colorado Mesa University,CO,7116
1,"4-year, public",University of Mississippi,MS,7096
1,"4-year, public",Jacksonville State University,AL,7092
1,"4-year, public",Granite State College,NH,7065
1,"4-year, public",Southeast Missouri State University,MO,7058
1,"4-year, public",University of Hawaii at Hilo,HI,7036
1,"4-year, public",Missouri State University-Springfield,MO,7008
1,"4-year, public",California State University-Chico,CA,7002
1,"4-year, public",Lincoln University,MO,6988
1,"4-year, public",University of Southern Mississippi,MS,6980
1,"4-year, public",University of Louisiana at Monroe,LA,6963
1,"4-year, public",West Virginia University,WV,6960
1,"4-year, public",University of Southern Indiana,IN,6957
1,"4-year, public",Tennessee State University,TN,6930
1,"4-year, public",New College of Florida,FL,6916
1,"4-year, public",Indiana University-South Bend,IN,6905
1,"4-year, public",California State Polytechnic University-Pomona,CA,6904
1,"4-year, public",University of Hawaii-West Oahu,HI,6888
1,"4-year, public",University of Louisiana at Lafayette,LA,6872
1,"4-year, public",San Diego State University,CA,6866
1,"4-year, public",Northwestern State University of Louisiana,LA,6863
1,"4-year, public",Angelo State University,TX,6856
1,"4-year, public",Indiana University-Northwest,IN,6854
1,"4-year, public",University of New Mexico-Main Campus,NM,6846
1,"4-year, public",Indiana University-Southeast,IN,6827
1,"4-year, public",Indiana University-Kokomo,IN,6811
1,"4-year, public",Montana State University,MT,6800
1,"4-year, public",California State University-Bakersfield,CA,6792
1,"4-year, public",Missouri Western State University,MO,6790
1,"4-year, public",Indiana University-East,IN,6787
1,"4-year, public",University of Idaho,ID,6784
1,"4-year, public",West Texas A & M University,TX,6782
1,"4-year, public",Purdue University-Calumet Campus,IN,6758
1,"4-year, public",University of Nebraska at Omaha,NE,6750
1,"4-year, public",University of Houston-Victoria,TX,6748
1,"4-year, public",University of Maryland-University College,MD,6744
1,"4-year, public",University of Nevada-Las Vegas,NV,6710
1,"4-year, public",Glenville State College,WV,6696
1,"4-year, public",California State University-Stanislaus,CA,6686
1,"4-year, public",Valley City State University,ND,6674
1,"4-year, public",SUNY Empire State College,NY,6665
1,"4-year, public",California State University-Sacramento,CA,6648
1,"4-year, public",Metropolitan State University,MN,6642
1,"4-year, public",Boise State University,ID,6641
1,"4-year, public",Southern University and A & M College,LA,6630
1,"4-year, public",Coppin State University,MD,6624
1,"4-year, public",University of Nevada-Reno,NV,6610
1,"4-year, public",Jackson State University,MS,6602
1,"4-year, public",University of Nebraska at Kearney,NE,6586
1,"4-year, public",Concord University,WV,6580
1,"4-year, public",Shepherd University,WV,6570
1,"4-year, public",Idaho State University,ID,6566
1,"4-year, public",California State University-East Bay,CA,6564
1,"4-year, public",Delta State University,MS,6562
1,"4-year, public",CUNY Bernard M Baruch College,NY,6561
1,"4-year, public",Appalachian State University,NC,6553
1,"4-year, public",California State University-San Bernardino,CA,6550
1,"4-year, public",California State University-Northridge,CA,6549
1,"4-year, public",Southeastern Louisiana University,LA,6547
1,"4-year, public",CUNY Brooklyn College,NY,6536
1,"4-year, public",The California Maritime Academy,CA,6536
1,"4-year, public",Marshall University,WV,6526
1,"4-year, public",Grambling State University,LA,6525
1,"4-year, public",Northwest Missouri State University,MO,6525
1,"4-year, public",California State University-Channel Islands,CA,6521
1,"4-year, public",Tarleton State University,TX,6516
1,"4-year, public",CUNY Queens College,NY,6507
1,"4-year, public",Florida State University,FL,6507
1,"4-year, public",Florida International University,FL,6497
1,"4-year, public",Montana Tech of the University of Montana,MT,6494
1,"4-year, public",Mayville State University,ND,6489
1,"4-year, public",San Francisco State University,CA,6468
1,"4-year, public",College of Staten Island CUNY,NY,6458
1,"4-year, public",University of North Carolina at Greensboro,NC,6454
1,"4-year, public",Texas A & M International University,TX,6453
1,"4-year, public",California State University-Long Beach,CA,6452
1,"4-year, public",Fort Valley State University,GA,6448
1,"4-year, public",CUNY Hunter College,NY,6429
1,"4-year, public",West Liberty University,WV,6415
1,"4-year, public",University of South Florida-Main Campus,FL,6410
1,"4-year, public",CUNY Lehman College,NY,6408
1,"4-year, public",CUNY York College,NY,6396
1,"4-year, public",University of North Carolina Wilmington,NC,6392
1,"4-year, public",University of North Carolina at Asheville,NC,6392
1,"4-year, public",CUNY City College,NY,6389
1,"4-year, public",University of North Florida,FL,6385
1,"4-year, public",CUNY New York City College of Technology,NY,6369
1,"4-year, public",University of Central Florida,FL,6368
1,"4-year, public",The University of West Florida,FL,6360
1,"4-year, public",CUNY John Jay College of Criminal Justice,NY,6359
1,"4-year, public",California State University-Los Angeles,CA,6348
1,"4-year, public",McNeese State University,LA,6334
1,"4-year, public",CUNY Medgar Evers College,NY,6332
1,"4-year, public",California State University-Fullerton,CA,6315
1,"4-year, public",University of Florida,FL,6313
1,"4-year, public",Fairmont State University,WV,6306
1,"4-year, public",Western Carolina University,NC,6305
1,"4-year, public",California State University-Fresno,CA,6299
1,"4-year, public",University of North Carolina at Charlotte,NC,6277
1,"4-year, public",Peru State College,NE,6272
1,"4-year, public",University of Science and Arts of Oklahoma,OK,6270
1,"4-year, public",New Mexico Institute of Mining and Technology,NM,6256
1,"4-year, public",Utah State University,UT,6250
1,"4-year, public",Central State University,OH,6246
1,"4-year, public",Pittsburg State University,KS,6230
1,"4-year, public",West Virginia State University,WV,6228
1,"4-year, public",Minot State University,ND,6225
1,"4-year, public",Alcorn State University,MS,6200
1,"4-year, public",University of Arkansas at Pine Bluff,AR,6178
1,"4-year, public",Georgia Southern University,GA,6170
1,"4-year, public",Louisiana State University-Shreveport,LA,6168
1,"4-year, public",East Carolina University,NC,6143
1,"4-year, public",Valdosta State University,GA,6142
1,"4-year, public",California State University-Dominguez Hills,CA,6139
1,"4-year, public",Southern Utah University,UT,6138
1,"4-year, public",Florida Gulf Coast University,FL,6118
1,"4-year, public",The University of Montana,MT,6099
1,"4-year, public",University of Arkansas at Monticello,AR,6082
1,"4-year, public",Metropolitan State University of Denver,CO,6070
1,"4-year, public",Texas A & M University-Texarkana,TX,6059
1,"4-year, public",Dickinson State University,ND,6050
1,"4-year, public",West Virginia University Institute of Technology,WV,6048
1,"4-year, public",Washburn University,KS,6038
1,"4-year, public",University of Cincinnati-Blue Ash College,OH,6010
1,"4-year, public",Louisiana State University-Alexandria,LA,6009
1,"4-year, public",California State University-Monterey Bay,CA,5963
1,"4-year, public",New Mexico State University-Main Campus,NM,5950
1,"4-year, public",University of West Georgia,GA,5938
1,"4-year, public",Mississippi Valley State University,MS,5916
1,"4-year, public",Kennesaw State University,GA,5912
1,"4-year, public",University of Alaska Southeast,AK,5901
1,"4-year, public",Texas A & M University-Commerce,TX,5892
1,"4-year, public",Thomas Edison State College,NJ,5871
1,"4-year, public",Arkansas Tech University,AR,5862
1,"4-year, public",Northwestern Oklahoma State University,OK,5843
1,"4-year, public",Wright State University-Lake Campus,OH,5842
1,"4-year, public",Southern Polytechnic State University,GA,5839
1,"4-year, public",Bluefield State College,WV,5832
1,"4-year, public",University of South Florida-St Petersburg,FL,5821
1,"4-year, public",Southwestern Oklahoma State University,OK,5820
1,"4-year, public",University of Central Oklahoma,OK,5806
1,"4-year, public",University of Houston-Clear Lake,TX,5802
1,"4-year, public",Florida Agricultural and Mechanical University,FL,5785
1,"4-year, public",Montana State University-Billings,MT,5780
1,"4-year, public",Emporia State University,KS,5746
1,"4-year, public",Rogers State University,OK,5725
1,"4-year, public",Southeastern Oklahoma State University,OK,5688
1,"4-year, public",Sul Ross State University,TX,5676
1,"4-year, public",Chadron State College,NE,5668
1,"4-year, public",Kent State University at Ashtabula,OH,5664
1,"4-year, public",Kent State University at East Liverpool,OH,5664
1,"4-year, public",Kent State University at Geauga,OH,5664
1,"4-year, public",Kent State University at Salem,OH,5664
1,"4-year, public",Kent State University at Stark,OH,5664
1,"4-year, public",Kent State University at Trumbull,OH,5664
1,"4-year, public",Kent State University at Tuscarawas,OH,5664
1,"4-year, public",North Carolina A & T State University,NC,5642
1,"4-year, public",Mississippi University for Women,MS,5640
1,"4-year, public",Clover Park Technical College,WA,5617
1,"4-year, public",Columbus State University,GA,5613
