Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude,Longitude
261,330,428,USA,293,Saint Louis University,129,286,458,367,202,45.39,364,32.84615,-117.198
567,637,645,USA,515,"Rutgers, The State University of New Jersey - Newark",201,871,832,367,218,44.33,723,38.66417,-90.33684
40,89,46,USA,66,Rutgers University-New Brunswick,33,61,100,91,37,55.23,50,40.488098,-74.411102
567,260,197,USA,404,Rush University,118,871,427,367,218,45.71,323,40.48134,-74.45626
567,70,115,USA,28,Rockefeller University,21,289,372,49,12,61.28,29,43.06358,-74.32984
431,671,287,USA,643,Rochester Institute of Technology,196,587,905,367,218,44.35,710,28.06736,-82.42734
161,130,59,USA,150,Rice University,61,76,255,52,95,49.73,120,40.7708,-73.19618
142,292,182,USA,346,Rensselaer Polytechnic Institute,110,210,402,137,218,46.19,282,36.73646,-88.13334
374,886,812,USA,690,"Queens College, City University of New York",223,729,977,323,218,44.14,893,42.73031,-73.68521
33,117,68,USA,95,"Purdue University, West Lafayette",27,28,75,55,47,56.39,43,35.29752,-89.63854
15,33,24,USA,25,Princeton University,7,225,72,4,3,89.42,9,40.4287,-86.91416
245,741,812,USA,548,Portland State University,192,484,800,367,218,44.41,661,40.34824,-74.65798
44,38,28,USA,43,"Pennsylvania State University, University Park",30,92,49,230,62,55.54,47,45.57387,-122.72445
239,235,161,USA,148,Oregon State University,101,389,263,189,218,46.42,260,40.52667,-80.20835
567,105,125,USA,115,Oregon Health & Science University,75,144,184,367,128,48.23,166,44.04496,-123.04443
567,590,511,USA,590,Old Dominion University,191,379,719,367,218,44.42,656,35.61278,-77.40541
153,471,428,USA,648,Oklahoma State University–Stillwater,139,303,447,239,218,45.13,412,33.38761,-90.3632
174,565,812,USA,472,Ohio University,149,224,590,205,218,44.91,460,36.12025,-97.07657
87,38,31,USA,52,"Ohio State University, Columbus",32,44,28,96,82,55.39,49,39.32489,-82.1006
567,850,812,USA,810,Oakland University,226,871,888,367,218,44.13,906,40.08462,-83.06917
12,26,27,USA,34,Northwestern University,17,42,27,163,104,66.56,22,36.18287,-86.78267
284,671,321,USA,661,Northern Illinois University,187,621,669,367,218,44.44,643,42.05127,-87.68225
537,686,645,USA,489,Northern Arizona University,208,609,939,367,218,44.28,766,38.79407,-89.99486
125,362,264,USA,312,Northeastern University,108,86,370,316,218,46.29,275,32.23164,-110.96791
567,770,812,USA,790,North Dakota State University - Main Campus,211,871,702,172,218,44.25,792,42.47895,-71.18925
228,242,182,USA,206,North Carolina State University,93,161,157,251,218,46.89,232,44.32101,-96.78313
22,32,46,USA,29,New York University,14,43,47,32,18,68.39,18,36.20486,-80.28134
567,437,812,USA,622,New York Medical College,166,719,752,367,218,44.64,546,40.85102,-73.90453
432,424,321,USA,585,New Mexico State University,163,871,711,367,218,44.71,519,43.01472,-78.14038
472,741,812,USA,670,New Jersey Institute of Technology,206,391,791,259,218,44.28,761,46.212676,-91.044251
477,495,287,USA,323,Montana State University - Bozeman,170,744,575,367,218,44.61,556,40.7708,-73.19618
246,826,645,USA,923,Missouri University of Science and Technology,199,592,718,367,218,44.34,718,45.66781,-111.04763
220,754,645,USA,608,Mississippi State University,181,566,605,155,218,44.5,607,32.09152,-110.81386
467,741,428,USA,769,Michigan Technological University,210,581,794,341,218,44.25,790,33.50792,-90.34251
162,111,65,USA,123,Michigan State University,60,136,88,112,218,49.74,118,42.73262,-84.47867
102,659,511,USA,543,Miami University,146,871,715,367,218,45,444,42.73262,-84.47867
567,231,287,USA,364,Medical University of South Carolina,116,508,316,367,218,45.94,303,25.74606,-80.36605
567,219,321,USA,284,Medical College of Wisconsin,113,659,337,367,218,45.97,297,35.90716,-79.05284
11,2,2,USA,2,Massachusetts Institute of Technology,3,1,15,3,2,97.54,3,33.55782,-117.66407
201,896,812,USA,785,Marquette University,198,682,912,367,218,44.34,717,42.3602,-71.08381
567,503,645,USA,544,LSU Health Sciences Center New Orleans,178,661,823,367,218,44.52,600,28.57103,-81.18298
366,353,511,USA,438,Loyola University Chicago,144,713,522,367,218,45.03,437,30.0108,-90.11976
197,754,428,USA,871,Louisiana Tech University,184,792,969,367,218,44.47,625,39.30853,-76.56478
177,353,197,USA,215,Louisiana State University - Baton Rouge,121,458,292,270,218,45.61,332,28.59748,-81.29074
567,565,645,USA,755,Loma Linda University,193,555,848,367,218,44.41,665,30.41547,-91.1946
47,511,511,USA,542,Lehigh University,102,534,615,367,218,46.4,264,34.05202,-117.27002
567,486,511,USA,436,Kent State University,173,498,610,367,218,44.58,571,42.08339,-75.96001
229,358,212,USA,320,Kansas State University,125,294,373,130,218,45.47,353,41.15376,-81.34989
84,3,5,USA,11,Johns Hopkins University,13,2,4,18,16,71.6,16,37.39114,-94.70421
186,184,82,USA,178,Iowa State University,81,339,151,286,109,47.71,187,35.60282,-77.41723
492,122,125,USA,190,Indiana University-Purdue University Indianapolis,74,79,187,367,218,48.28,164,42.02353,-93.64979
35,190,161,USA,143,Indiana University - Bloomington,58,178,180,134,178,50.26,106,40.41976,-86.9159
114,715,511,USA,713,Illinois Institute of Technology,154,861,784,274,218,44.85,480,39.16895,-86.52233
567,63,161,USA,71,Icahn School of Medicine at Mount Sinai,69,101,160,367,218,48.96,143,40.7708,-73.19618
438,826,812,USA,610,Hunter College,220,805,822,261,218,44.18,850,40.93906,-73.02148
567,699,511,USA,665,Howard University,200,296,934,294,218,44.33,719,41.41262,-75.97294
1,1,1,USA,1,Harvard University,1,3,1,1,1,100,1,38.92254,-77.0204
405,457,511,USA,484,Georgia State University,160,360,449,367,218,44.74,509,42.45023,-83.65391
567,341,368,USA,418,Georgia Regents University,141,481,482,367,218,45.09,424,32.8288,-83.72236
60,106,78,USA,152,Georgia Institute of Technology,48,36,107,135,218,52.08,80,33.4685,-81.9842
34,204,321,USA,321,Georgetown University,59,122,298,159,218,49.92,113,40.7708,-73.19618
56,235,264,USA,227,George Washington University,87,326,301,192,218,47.46,202,38.91218,-77.07608
567,388,264,USA,371,George Mason University,140,526,450,367,98,45.13,414,38.90208,-77.04975
334,225,136,USA,184,Florida State University,96,411,200,367,218,46.53,252,38.83529,-77.30843
567,540,428,USA,508,Florida International University,179,585,496,367,218,44.5,605,30.30314,-81.60095
567,770,368,USA,793,Florida Institute of Technology,214,871,973,367,218,44.21,823,25.75945,-80.37575
567,796,812,USA,741,Florida Atlantic University,221,714,855,367,218,44.17,856,40.7708,-73.19618
146,41,93,USA,60,Emory University,51,55,67,367,116,51.85,84,26.36832,-80.0974
394,732,812,USA,685,East Carolina University,207,639,699,367,218,44.28,762,29.72099,-95.44456
31,16,15,USA,23,Duke University,20,33,19,74,56,61.55,28,35.56862,-77.40358
233,273,287,USA,338,Drexel University,99,91,362,367,218,46.43,258,35.99781,-78.93222
19,154,136,USA,167,Dartmouth College,28,63,246,40,218,56.35,44,38.66803,-90.3333
567,402,368,USA,724,Creighton University,159,615,824,367,218,44.75,508,43.64198,-72.25374
18,22,25,USA,15,Cornell University,8,11,24,12,14,86.79,10,28.58822,-81.22253
6,12,11,USA,13,Columbia University,4,4,13,13,9,96.14,6,42.44777,-76.47975
493,231,234,USA,203,Colorado State University - Fort Collins,104,257,244,211,148,46.32,271,45.55109,-122.63209
81,565,321,USA,601,Colorado School of Mines,130,690,668,367,218,45.39,365,40.5832,-105.08068
85,511,321,USA,459,College of William and Mary,127,809,611,367,218,45.42,360,34.06153,-106.89844
535,396,645,USA,497,Clemson University,155,510,433,367,218,44.83,483,37.27585,-76.71648
390,809,812,USA,974,Clarkson University,218,685,981,367,218,44.19,835,34.22979,-77.88042
