Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
87,38,31,USA,52,"Ohio State University, Columbus",32,44,28,96,82,55.39,49,40.0792,-98.8164
567,850,812,USA,810,Oakland University,226,871,888,367,218,44.13,906,40.0792,-98.8164
12,26,27,USA,34,Northwestern University,17,42,27,163,104,66.56,22,40.0792,-98.8164
284,671,321,USA,661,Northern Illinois University,187,621,669,367,218,44.44,643,40.0792,-98.8164
537,686,645,USA,489,Northern Arizona University,208,609,939,367,218,44.28,766,40.0792,-98.8164
125,362,264,USA,312,Northeastern University,108,86,370,316,218,46.29,275,40.0792,-98.8164
567,770,812,USA,790,North Dakota State University - Main Campus,211,871,702,172,218,44.25,792,40.0792,-98.8164
228,242,182,USA,206,North Carolina State University,93,161,157,251,218,46.89,232,40.0792,-98.8164
22,32,46,USA,29,New York University,14,43,47,32,18,68.39,18,40.0792,-98.8164
567,437,812,USA,622,New York Medical College,166,719,752,367,218,44.64,546,40.0792,-98.8164
432,424,321,USA,585,New Mexico State University,163,871,711,367,218,44.71,519,40.0792,-98.8164
472,741,812,USA,670,New Jersey Institute of Technology,206,391,791,259,218,44.28,761,40.0792,-98.8164
477,495,287,USA,323,Montana State University - Bozeman,170,744,575,367,218,44.61,556,40.0792,-98.8164
246,826,645,USA,923,Missouri University of Science and Technology,199,592,718,367,218,44.34,718,40.0792,-98.8164
220,754,645,USA,608,Mississippi State University,181,566,605,155,218,44.5,607,40.0792,-98.8164
467,741,428,USA,769,Michigan Technological University,210,581,794,341,218,44.25,790,40.0792,-98.8164
162,111,65,USA,123,Michigan State University,60,136,88,112,218,49.74,118,40.0792,-98.8164
102,659,511,USA,543,Miami University,146,871,715,367,218,45,444,40.0792,-98.8164
567,231,287,USA,364,Medical University of South Carolina,116,508,316,367,218,45.94,303,40.0792,-98.8164
567,219,321,USA,284,Medical College of Wisconsin,113,659,337,367,218,45.97,297,40.0792,-98.8164
11,2,2,USA,2,Massachusetts Institute of Technology,3,1,15,3,2,97.54,3,40.0792,-98.8164
201,896,812,USA,785,Marquette University,198,682,912,367,218,44.34,717,40.0792,-98.8164
567,503,645,USA,544,LSU Health Sciences Center New Orleans,178,661,823,367,218,44.52,600,40.0792,-98.8164
366,353,511,USA,438,Loyola University Chicago,144,713,522,367,218,45.03,437,40.0792,-98.8164
197,754,428,USA,871,Louisiana Tech University,184,792,969,367,218,44.47,625,40.0792,-98.8164
177,353,197,USA,215,Louisiana State University - Baton Rouge,121,458,292,270,218,45.61,332,40.0792,-98.8164
567,565,645,USA,755,Loma Linda University,193,555,848,367,218,44.41,665,40.0792,-98.8164
47,511,511,USA,542,Lehigh University,102,534,615,367,218,46.4,264,40.0792,-98.8164
567,486,511,USA,436,Kent State University,173,498,610,367,218,44.58,571,40.0792,-98.8164
229,358,212,USA,320,Kansas State University,125,294,373,130,218,45.47,353,40.0792,-98.8164
84,3,5,USA,11,Johns Hopkins University,13,2,4,18,16,71.6,16,40.0792,-98.8164
186,184,82,USA,178,Iowa State University,81,339,151,286,109,47.71,187,40.0792,-98.8164
492,122,125,USA,190,Indiana University-Purdue University Indianapolis,74,79,187,367,218,48.28,164,40.0792,-98.8164
35,190,161,USA,143,Indiana University - Bloomington,58,178,180,134,178,50.26,106,40.0792,-98.8164
114,715,511,USA,713,Illinois Institute of Technology,154,861,784,274,218,44.85,480,40.0792,-98.8164
567,63,161,USA,71,Icahn School of Medicine at Mount Sinai,69,101,160,367,218,48.96,143,40.0792,-98.8164
438,826,812,USA,610,Hunter College,220,805,822,261,218,44.18,850,40.0792,-98.8164
567,699,511,USA,665,Howard University,200,296,934,294,218,44.33,719,40.0792,-98.8164
1,1,1,USA,1,Harvard University,1,3,1,1,1,100,1,40.0792,-98.8164
405,457,511,USA,484,Georgia State University,160,360,449,367,218,44.74,509,40.0792,-98.8164
